name_ar,name_en,location_lat,location_long
تل العيسى,Tal Issa,31.159454,29.8724947
غزال,Ghazal,30.9858912,28.5996152
سيدي شبيب,Sidi Shbeeb,31.0370006,28.2953817
الفردية,Fardyah,30.4558513,31.1806955
اطنوح,Atnoh,24.0998701,32.902257
سيدي حنوش,Sidi Hanosh,31.1635555,27.6285705
جرولة,Grawlah,30.9689908,31.1687061
الحضرة,Hadrah,31.2041261,29.9297362
الظاهرية,Zahiriyyah,31.228861,29.96541
السوق,Souq,31.2339786,29.9713809
غبريال,Ghobrial,31.2383257,29.9760592
الرمل,Raml,31.2013546,29.9010136
النقراشي باشا,Nokrashy,30.9305727,31.1335976
سيدي بشر,Sidi Bishr,31.2573288,29.9945747
العصافرة,Asafra,31.2714171,30.0068955
المندرة,Mandara,31.2784237,30.0136229
المنتزة,Montaza,31.282662,30.020769
الاصلاح,Eslah,30.0626726,31.2458461
المعمورة,Mamurah,31.2941268,30.0537222
الكلية البحرية,Naval college,31.292812,30.0760088
الطابية,Tabya,31.2798318,30.0825137
سماد ابو قير,Abo Qir Fertilizer,31.2714168,30.0960803
الطرح,Tarh,31.2675665,30.1262193
المعدية,Maadeyah,31.2673779,30.1746621
الابعدية,Abaadiah,31.2189328,29.9424796
بحيرة ادكو,Lago Idku,31.2985063,30.303744
الدمياطي,Damietty,31.4187479,31.8080119
ادكو,Idku,31.2985063,30.303744
مياح,Miah,,
منشية الأمل,Manshyt Amel,31.3137168,30.3623294
سنهور,Sanhur,31.0691004,30.5511999
الهوارية,Hwariah,,
الخزان,Khazan,31.0885504,30.5823937
الرحمانية,Rahmaniah,31.1263656,30.6276771
دسوق,Desouk,31.1325289,30.6410124
المدينة,Madinah,26.1622143,32.7272833
شباس,Shbas,31.2189328,29.9424796
البكاتوش,Bekatush,,
السنطة,Santa,30.7301618,31.1232963
تفهنا الاشراف,Tafhna Ashraf,30.6739117,31.350814
قليشان,Qilishan,30.8361625,30.6777163
صفط العنب,Saft Inab,30.81648689999999,30.6829807
النقيدي,Naqidi,30.7900945,30.6898098
كوم حمادة,Kom Hamada,30.7602888,30.69762739999999
كفر بولين,Kafr Bulin,30.7305149,30.7381555
واقد,Waqid,30.6953611,30.738818
منشاة ابو رية,Monshaat Abo Rayyah,,
الاتحاد,Ethaad,24.9902392,32.8893625
الطيرية البلد,Tairyyah B,30.6431332,30.7762757
ابو الخاوي,Abo Khawi,30.584666,30.7909706
مديرية التحرير,Modiriyat Tahrir,30.5453561,30.8002565
البريجات,Birijat,30.496894,30.81401889999999
كفر داود,Kafr Dawoud,30.4632215,30.8237301
الطرانة,Tarranah,30.426647,30.826783
الاخماس,Akhmas,30.0626726,31.2458461
